样本ID | P | R | F1
legal_question_answering_58801 | 0.6907 | 0.6921 | 0.6914
legal_question_answering_16585 | 0.8126 | 0.7243 | 0.7659
legal_question_answering_61313 | 0.5869 | 0.5968 | 0.5918
legal_question_answering_69556 | 0.3802 | 0.6220 | 0.4719
legal_question_answering_66794 | 0.2889 | 0.5055 | 0.3676
legal_question_answering_41301 | 0.8419 | 0.7218 | 0.7772
legal_question_answering_58931 | 0.6409 | 0.6487 | 0.6448
legal_question_answering_38984 | 0.7320 | 0.8342 | 0.7798
legal_question_answering_72716 | 0.4297 | 0.5316 | 0.4752
legal_question_answering_14309 | 0.6965 | 0.6877 | 0.6921
legal_question_answering_60682 | 0.6610 | 0.7425 | 0.6994
legal_question_answering_18390 | 0.8282 | 0.7392 | 0.7812
legal_question_answering_17338 | 0.7355 | 0.6069 | 0.6650
legal_question_answering_44074 | 0.7050 | 0.7376 | 0.7209
legal_question_answering_12754 | 0.7841 | 0.6454 | 0.7081
legal_question_answering_67175 | 0.4878 | 0.7523 | 0.5918
legal_question_answering_11483 | 0.5974 | 0.4956 | 0.5417
legal_question_answering_49637 | 0.4607 | 0.4431 | 0.4517
legal_question_answering_41654 | 0.7464 | 0.7636 | 0.7549
legal_question_answering_3723 | 0.6803 | 0.7083 | 0.6941
legal_question_answering_62987 | 0.7099 | 0.7309 | 0.7203
legal_question_answering_7867 | 0.6411 | 0.6084 | 0.6243
legal_question_answering_78368 | 0.7177 | 0.6246 | 0.6679
legal_question_answering_57064 | 0.5762 | 0.6341 | 0.6038
legal_question_answering_1097 | 0.7650 | 0.7132 | 0.7382
legal_question_answering_78394 | 0.8319 | 0.8644 | 0.8479
legal_question_answering_34759 | 0.7374 | 0.7041 | 0.7203
legal_question_answering_2168 | 0.6632 | 0.6643 | 0.6638
legal_question_answering_36534 | 0.7390 | 0.6483 | 0.6906
legal_question_answering_1019 | 0.7231 | 0.6723 | 0.6968
legal_question_answering_52313 | 0.6968 | 0.6971 | 0.6970
legal_question_answering_25684 | 0.7702 | 0.7595 | 0.7648
legal_question_answering_26617 | 0.7789 | 0.8207 | 0.7993
legal_question_answering_30949 | 0.7391 | 0.7075 | 0.7230
legal_question_answering_11238 | 0.7339 | 0.6854 | 0.7088
legal_question_answering_7220 | 0.6828 | 0.6311 | 0.6559
legal_question_answering_25223 | 0.7826 | 0.8039 | 0.7931
legal_question_answering_68594 | 0.3434 | 0.6000 | 0.4368
legal_question_answering_62033 | 0.6741 | 0.6552 | 0.6645
legal_question_answering_65649 | 0.7208 | 0.6959 | 0.7081
legal_question_answering_44919 | 0.7646 | 0.8577 | 0.8085
legal_question_answering_54544 | 0.7771 | 0.8415 | 0.8080
legal_question_answering_69365 | 0.3705 | 0.4592 | 0.4101
legal_question_answering_143 | 0.6778 | 0.5412 | 0.6018
legal_question_answering_69535 | 0.3150 | 0.4384 | 0.3666
legal_question_answering_27456 | 0.7135 | 0.6851 | 0.6990
legal_question_answering_55098 | 0.4697 | 0.3041 | 0.3692
legal_question_answering_5820 | 0.7405 | 0.7559 | 0.7481
legal_question_answering_62511 | 0.7529 | 0.6794 | 0.7143
legal_question_answering_56578 | 0.7132 | 0.6474 | 0.6787
legal_question_answering_30600 | 0.6867 | 0.7266 | 0.7061
legal_question_answering_70647 | 0.3173 | 0.4514 | 0.3727
legal_question_answering_42046 | 0.7701 | 0.8141 | 0.7915
legal_question_answering_12048 | 0.7667 | 0.7485 | 0.7575
legal_question_answering_37024 | 0.7521 | 0.7371 | 0.7445
legal_question_answering_22208 | 0.7755 | 0.7642 | 0.7698
legal_question_answering_37975 | 0.7622 | 0.7116 | 0.7360
legal_question_answering_43238 | 0.7416 | 0.7439 | 0.7427
legal_question_answering_33268 | 0.7802 | 0.8898 | 0.8314
legal_question_answering_33838 | 0.6577 | 0.6375 | 0.6474
legal_question_answering_9653 | 0.7212 | 0.6228 | 0.6684
legal_question_answering_29992 | 0.8585 | 0.7970 | 0.8266
legal_question_answering_1260 | 0.6886 | 0.7123 | 0.7003
legal_question_answering_62727 | 0.5869 | 0.6431 | 0.6137
legal_question_answering_1978 | 0.7599 | 0.7082 | 0.7332
legal_question_answering_73201 | 0.3501 | 0.7454 | 0.4764
legal_question_answering_54859 | 0.8014 | 0.8039 | 0.8027
legal_question_answering_34509 | 0.7954 | 0.8340 | 0.8142
legal_question_answering_19604 | 0.7811 | 0.7951 | 0.7880
legal_question_answering_19397 | 0.7494 | 0.7668 | 0.7580
legal_question_answering_79248 | 0.9176 | 0.7158 | 0.8043
legal_question_answering_42682 | 0.7757 | 0.7570 | 0.7662
legal_question_answering_11393 | 0.7146 | 0.7216 | 0.7181
legal_question_answering_36062 | 0.7402 | 0.8297 | 0.7824
legal_question_answering_27172 | 0.7521 | 0.7546 | 0.7534
legal_question_answering_75143 | 0.6488 | 0.8414 | 0.7326
legal_question_answering_63549 | 0.7256 | 0.7813 | 0.7524
legal_question_answering_34648 | 0.6569 | 0.5476 | 0.5973
legal_question_answering_9844 | 0.8081 | 0.6223 | 0.7032
legal_question_answering_26352 | 0.6396 | 0.6501 | 0.6448
legal_question_answering_10442 | 0.6593 | 0.6780 | 0.6685
legal_question_answering_74615 | 0.3580 | 0.6008 | 0.4487
legal_question_answering_72669 | 0.3011 | 0.4733 | 0.3681
legal_question_answering_66020 | 0.6915 | 0.6898 | 0.6906
legal_question_answering_33920 | 0.7550 | 0.7045 | 0.7289
legal_question_answering_65490 | 0.7052 | 0.7563 | 0.7299
legal_question_answering_35351 | 0.8146 | 0.8408 | 0.8275
legal_question_answering_41228 | 0.6515 | 0.7216 | 0.6848
legal_question_answering_75330 | 1.0000 | 1.0000 | 1.0000
legal_question_answering_2037 | 0.6526 | 0.6698 | 0.6611
legal_question_answering_13342 | 0.6448 | 0.6036 | 0.6235
legal_question_answering_61161 | 0.6814 | 0.6682 | 0.6747
legal_question_answering_29246 | 0.7857 | 0.8424 | 0.8131
legal_question_answering_69021 | 0.3955 | 0.6280 | 0.4853
legal_question_answering_56053 | 0.7066 | 0.6723 | 0.6890
legal_question_answering_41340 | 0.7452 | 0.7727 | 0.7587
legal_question_answering_27018 | 0.7158 | 0.7116 | 0.7137
legal_question_answering_10228 | 0.6668 | 0.6633 | 0.6651
legal_question_answering_39261 | 0.7244 | 0.7617 | 0.7426
legal_question_answering_3565 | 0.7225 | 0.6318 | 0.6741
legal_question_answering_31192 | 0.7973 | 0.8059 | 0.8016
legal_question_answering_7499 | 0.7034 | 0.7079 | 0.7056
legal_question_answering_3039 | 0.6662 | 0.6917 | 0.6787
legal_question_answering_50771 | 0.7327 | 0.7566 | 0.7445
legal_question_answering_29410 | 0.7609 | 0.7800 | 0.7704
legal_question_answering_13088 | 0.6161 | 0.6675 | 0.6408
legal_question_answering_96 | 0.6931 | 0.6818 | 0.6874
legal_question_answering_21533 | 0.7651 | 0.7484 | 0.7566
legal_question_answering_58011 | 0.6484 | 0.6325 | 0.6404
legal_question_answering_33489 | 0.8258 | 0.7543 | 0.7884
legal_question_answering_42863 | 0.7048 | 0.6932 | 0.6990
legal_question_answering_61826 | 0.6440 | 0.6207 | 0.6322
legal_question_answering_43133 | 0.8022 | 0.7256 | 0.7620
legal_question_answering_47363 | 0.7583 | 0.7190 | 0.7381
legal_question_answering_38071 | 0.7776 | 0.7601 | 0.7688
legal_question_answering_74673 | 0.3801 | 0.5920 | 0.4630
legal_question_answering_66471 | 0.4629 | 0.5946 | 0.5206
legal_question_answering_56844 | 0.5696 | 0.6163 | 0.5921
legal_question_answering_78492 | 0.5355 | 0.5402 | 0.5378
legal_question_answering_68442 | 0.5006 | 0.6953 | 0.5821
legal_question_answering_3395 | 0.5381 | 0.4923 | 0.5142
legal_question_answering_49717 | 0.7800 | 0.7481 | 0.7637
legal_question_answering_59026 | 0.6013 | 0.6299 | 0.6153
legal_question_answering_38004 | 0.6836 | 0.7853 | 0.7310
legal_question_answering_34583 | 0.7407 | 0.7664 | 0.7533
legal_question_answering_74406 | 0.2819 | 0.4501 | 0.3467
legal_question_answering_78253 | 0.3961 | 0.6008 | 0.4775
legal_question_answering_7464 | 0.7990 | 0.7527 | 0.7752
legal_question_answering_44420 | 0.7563 | 0.7507 | 0.7535
legal_question_answering_63084 | 0.6043 | 0.6691 | 0.6351
legal_question_answering_43471 | 0.7343 | 0.7647 | 0.7492
legal_question_answering_17765 | 0.7089 | 0.7026 | 0.7057
legal_question_answering_42001 | 0.7703 | 0.7831 | 0.7767
legal_question_answering_53696 | 0.4352 | 0.4621 | 0.4483
legal_question_answering_61584 | 0.6116 | 0.5946 | 0.6030
legal_question_answering_25320 | 0.7480 | 0.7727 | 0.7601
legal_question_answering_67516 | 0.5099 | 0.7701 | 0.6135
legal_question_answering_32898 | 0.7645 | 0.7636 | 0.7641
legal_question_answering_67751 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_27150 | 0.7118 | 0.6837 | 0.6975
legal_question_answering_7316 | 0.7059 | 0.6027 | 0.6502
legal_question_answering_35309 | 0.7462 | 0.7633 | 0.7547
legal_question_answering_47492 | 0.7493 | 0.7291 | 0.7391
legal_question_answering_30533 | 0.7508 | 0.7128 | 0.7313
legal_question_answering_4937 | 0.7616 | 0.5022 | 0.6053
legal_question_answering_48521 | 0.7026 | 0.7456 | 0.7235
legal_question_answering_44452 | 0.6630 | 0.6203 | 0.6409
legal_question_answering_67364 | 0.5901 | 0.8345 | 0.6914
legal_question_answering_51302 | 0.5095 | 0.3083 | 0.3841
legal_question_answering_9614 | 0.6759 | 0.6375 | 0.6561
legal_question_answering_63389 | 0.6601 | 0.6930 | 0.6761
legal_question_answering_3558 | 0.7096 | 0.5997 | 0.6500
legal_question_answering_16079 | 0.7697 | 0.7520 | 0.7608
legal_question_answering_43167 | 0.8238 | 0.7732 | 0.7977
legal_question_answering_59735 | 0.6882 | 0.7331 | 0.7099
legal_question_answering_50841 | 0.5352 | 0.7187 | 0.6135
legal_question_answering_74573 | 0.3499 | 0.5620 | 0.4313
legal_question_answering_33595 | 0.7824 | 0.6871 | 0.7317
legal_question_answering_62853 | 0.7120 | 0.6998 | 0.7059
legal_question_answering_15204 | 0.7116 | 0.7239 | 0.7177
legal_question_answering_57715 | 0.5988 | 0.6242 | 0.6112
legal_question_answering_10643 | 0.7115 | 0.6801 | 0.6954
legal_question_answering_34766 | 0.7302 | 0.7783 | 0.7535
legal_question_answering_39797 | 0.7138 | 0.5436 | 0.6172
legal_question_answering_16938 | 0.6761 | 0.6203 | 0.6470
legal_question_answering_67230 | 0.4253 | 0.6695 | 0.5201
legal_question_answering_130 | 0.8181 | 0.5777 | 0.6772
legal_question_answering_12442 | 0.6089 | 0.6282 | 0.6184
legal_question_answering_28782 | 0.6390 | 0.7832 | 0.7038
legal_question_answering_35298 | 0.7177 | 0.8049 | 0.7588
legal_question_answering_75831 | 0.9493 | 0.9671 | 0.9581
legal_question_answering_40431 | 0.7805 | 0.7592 | 0.7697
legal_question_answering_4162 | 0.8256 | 0.7819 | 0.8031
legal_question_answering_11772 | 0.8516 | 0.7234 | 0.7823
legal_question_answering_39243 | 0.8403 | 0.7911 | 0.8150
legal_question_answering_69851 | 0.3253 | 0.4716 | 0.3850
legal_question_answering_56732 | 0.5915 | 0.5369 | 0.5629
legal_question_answering_60906 | 0.7210 | 0.7250 | 0.7230
legal_question_answering_27429 | 0.7279 | 0.6637 | 0.6943
legal_question_answering_40009 | 0.7410 | 0.7469 | 0.7439
legal_question_answering_37065 | 0.7073 | 0.7250 | 0.7160
legal_question_answering_50796 | 0.4999 | 0.2943 | 0.3705
legal_question_answering_23513 | 0.7130 | 0.6446 | 0.6771
legal_question_answering_18499 | 0.8005 | 0.7907 | 0.7956
legal_question_answering_59095 | 0.6421 | 0.6313 | 0.6367
legal_question_answering_1263 | 0.5851 | 0.6121 | 0.5983
legal_question_answering_45372 | 0.8525 | 0.8400 | 0.8462
legal_question_answering_39420 | 0.7494 | 0.8037 | 0.7756
legal_question_answering_41925 | 0.6683 | 0.6702 | 0.6693
legal_question_answering_45028 | 0.7798 | 0.7839 | 0.7819
legal_question_answering_19823 | 0.6032 | 0.8113 | 0.6919
legal_question_answering_21419 | 0.7280 | 0.7184 | 0.7231
legal_question_answering_15558 | 0.6006 | 0.6582 | 0.6281
legal_question_answering_50533 | 0.7300 | 0.6842 | 0.7064
legal_question_answering_44208 | 0.8392 | 0.8258 | 0.8325
legal_question_answering_66707 | 0.2640 | 0.4926 | 0.3437
legal_question_answering_69140 | 0.3804 | 0.5374 | 0.4455
legal_question_answering_67780 | 0.3354 | 0.5997 | 0.4302
legal_question_answering_45020 | 0.7709 | 0.7318 | 0.7508
legal_question_answering_35098 | 0.7596 | 0.7897 | 0.7743
legal_question_answering_58197 | 0.7021 | 0.6723 | 0.6869
legal_question_answering_56388 | 0.6407 | 0.6130 | 0.6265
legal_question_answering_79652 | 0.9837 | 0.9851 | 0.9844
legal_question_answering_75976 | 0.9197 | 0.9697 | 0.9440
legal_question_answering_65093 | 0.6209 | 0.6814 | 0.6497
legal_question_answering_10337 | 0.7526 | 0.7303 | 0.7413
legal_question_answering_19132 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_38490 | 0.6170 | 0.7859 | 0.6913
legal_question_answering_26556 | 0.6946 | 0.7445 | 0.7187
legal_question_answering_60942 | 0.6551 | 0.6873 | 0.6708
legal_question_answering_75724 | 0.7538 | 0.6944 | 0.7229
legal_question_answering_40025 | 0.7117 | 0.7243 | 0.7180
legal_question_answering_20182 | 0.7805 | 0.8272 | 0.8032
legal_question_answering_27714 | 0.7885 | 0.7791 | 0.7838
legal_question_answering_34989 | 0.7280 | 0.7950 | 0.7601
legal_question_answering_398 | 0.7459 | 0.7500 | 0.7479
legal_question_answering_48335 | 0.7107 | 0.7666 | 0.7376
legal_question_answering_29985 | 0.7367 | 0.7469 | 0.7417
legal_question_answering_5926 | 0.7063 | 0.7042 | 0.7052
legal_question_answering_30385 | 0.7642 | 0.7590 | 0.7616
legal_question_answering_15294 | 0.7060 | 0.7084 | 0.7072
legal_question_answering_50634 | 0.8013 | 0.8178 | 0.8095
legal_question_answering_13374 | 0.6682 | 0.6588 | 0.6635
legal_question_answering_50427 | 0.4105 | 0.2836 | 0.3354
legal_question_answering_70599 | 0.3397 | 0.4722 | 0.3952
legal_question_answering_46034 | 0.6442 | 0.7550 | 0.6952
legal_question_answering_53487 | 0.8029 | 0.8246 | 0.8136
legal_question_answering_77632 | 0.7764 | 0.7684 | 0.7724
legal_question_answering_36821 | 0.7870 | 0.7153 | 0.7494
legal_question_answering_69572 | 0.2887 | 0.4428 | 0.3495
legal_question_answering_32147 | 0.8878 | 0.8672 | 0.8774
legal_question_answering_10468 | 0.6754 | 0.7711 | 0.7201
legal_question_answering_35160 | 0.6766 | 0.7024 | 0.6893
legal_question_answering_37135 | 0.5686 | 0.6540 | 0.6083
legal_question_answering_44099 | 0.8053 | 0.7206 | 0.7606
legal_question_answering_5248 | 0.7510 | 0.8617 | 0.8026
legal_question_answering_60462 | 0.5806 | 0.6295 | 0.6041
legal_question_answering_33355 | 0.6747 | 0.7437 | 0.7075
legal_question_answering_50248 | 0.4522 | 0.3109 | 0.3684
legal_question_answering_55309 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_38099 | 0.7432 | 0.7301 | 0.7366
legal_question_answering_38025 | 0.6661 | 0.7936 | 0.7243
legal_question_answering_71275 | 0.3317 | 0.5592 | 0.4164
legal_question_answering_56410 | 0.5861 | 0.6274 | 0.6060
legal_question_answering_971 | 0.5990 | 0.6585 | 0.6274
legal_question_answering_79502 | 0.6508 | 0.8138 | 0.7232
legal_question_answering_37871 | 0.7232 | 0.6637 | 0.6922
legal_question_answering_75326 | 0.7168 | 0.6476 | 0.6805
legal_question_answering_52038 | 0.5070 | 0.3222 | 0.3940
legal_question_answering_26359 | 0.7694 | 0.7246 | 0.7463
legal_question_answering_73332 | 0.3477 | 0.6152 | 0.4443
legal_question_answering_49973 | 0.7147 | 0.6821 | 0.6980
legal_question_answering_52812 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_12243 | 0.7193 | 0.7025 | 0.7108
legal_question_answering_13496 | 0.6271 | 0.6822 | 0.6535
legal_question_answering_65043 | 0.6874 | 0.5548 | 0.6140
legal_question_answering_26681 | 0.6363 | 0.6201 | 0.6281
legal_question_answering_1949 | 0.7749 | 0.7906 | 0.7827
legal_question_answering_29018 | 0.7483 | 0.7596 | 0.7539
legal_question_answering_47401 | 0.7746 | 0.7716 | 0.7731
legal_question_answering_44747 | 0.7297 | 0.7516 | 0.7405
legal_question_answering_60628 | 0.6264 | 0.6256 | 0.6260
legal_question_answering_63033 | 0.7624 | 0.7255 | 0.7435
legal_question_answering_52444 | 0.8169 | 0.8141 | 0.8155
legal_question_answering_57162 | 0.5013 | 0.5926 | 0.5432
legal_question_answering_45885 | 0.7281 | 0.7155 | 0.7217
legal_question_answering_59118 | 0.6067 | 0.6202 | 0.6134
legal_question_answering_27694 | 0.8107 | 0.8066 | 0.8086
legal_question_answering_36767 | 0.5798 | 0.6049 | 0.5921
legal_question_answering_42461 | 0.7428 | 0.8015 | 0.7711
legal_question_answering_17194 | 0.5693 | 0.4296 | 0.4897
legal_question_answering_3845 | 0.6761 | 0.6673 | 0.6717
legal_question_answering_29845 | 0.7274 | 0.8047 | 0.7641
legal_question_answering_53996 | 0.5113 | 0.3338 | 0.4039
legal_question_answering_7729 | 0.6146 | 0.6487 | 0.6312
legal_question_answering_9109 | 0.6920 | 0.6862 | 0.6891
legal_question_answering_9047 | 0.7111 | 0.5101 | 0.5941
legal_question_answering_56141 | 0.7306 | 0.7238 | 0.7272
legal_question_answering_19836 | 0.8577 | 0.6847 | 0.7615
legal_question_answering_65586 | 0.8339 | 0.7412 | 0.7848
legal_question_answering_43957 | 0.7475 | 0.6869 | 0.7159
legal_question_answering_1435 | 0.6181 | 0.6491 | 0.6333
legal_question_answering_21145 | 0.7674 | 0.6868 | 0.7248
legal_question_answering_41791 | 0.7625 | 0.7799 | 0.7711
legal_question_answering_20638 | 0.8007 | 0.7310 | 0.7643
legal_question_answering_54546 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_1577 | 0.6912 | 0.5833 | 0.6327
legal_question_answering_75433 | 0.7577 | 0.7209 | 0.7388
legal_question_answering_31560 | 0.6933 | 0.6987 | 0.6960
legal_question_answering_49541 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_33011 | 0.6751 | 0.7142 | 0.6941
legal_question_answering_40495 | 0.6788 | 0.7332 | 0.7049
legal_question_answering_45455 | 0.7112 | 0.7150 | 0.7131
legal_question_answering_33753 | 0.6444 | 0.7126 | 0.6768
legal_question_answering_62299 | 0.6532 | 0.6953 | 0.6736
legal_question_answering_70117 | 0.3262 | 0.5036 | 0.3959
legal_question_answering_44547 | 0.6920 | 0.7707 | 0.7292
legal_question_answering_19967 | 0.8166 | 0.8042 | 0.8104
legal_question_answering_13392 | 0.7317 | 0.6319 | 0.6781
legal_question_answering_27178 | 0.7838 | 0.8291 | 0.8058
legal_question_answering_37528 | 0.6800 | 0.7004 | 0.6900
legal_question_answering_13451 | 0.7522 | 0.7010 | 0.7257
legal_question_answering_59583 | 0.6183 | 0.6339 | 0.6260
legal_question_answering_30849 | 0.7944 | 0.7621 | 0.7779
legal_question_answering_25376 | 0.6845 | 0.7101 | 0.6970
legal_question_answering_3059 | 0.6258 | 0.7936 | 0.6998
legal_question_answering_39177 | 0.6843 | 0.7949 | 0.7355
legal_question_answering_44318 | 0.6936 | 0.8541 | 0.7655
legal_question_answering_21593 | 0.7595 | 0.7546 | 0.7571
legal_question_answering_49802 | 0.8369 | 0.7976 | 0.8168
legal_question_answering_32924 | 0.6391 | 0.6895 | 0.6633
legal_question_answering_14288 | 0.7396 | 0.7467 | 0.7432
legal_question_answering_78565 | 0.6086 | 0.8378 | 0.7051
legal_question_answering_56970 | 0.6929 | 0.6365 | 0.6635
legal_question_answering_68786 | 0.4558 | 0.5580 | 0.5017
legal_question_answering_57412 | 0.6521 | 0.7165 | 0.6828
legal_question_answering_33297 | 0.7775 | 0.7126 | 0.7437
legal_question_answering_29630 | 0.6968 | 0.6813 | 0.6889
legal_question_answering_33547 | 0.7480 | 0.7213 | 0.7344
legal_question_answering_50534 | 0.8186 | 0.8240 | 0.8213
legal_question_answering_1058 | 0.5217 | 0.4736 | 0.4965
legal_question_answering_40259 | 0.7676 | 0.7213 | 0.7437
legal_question_answering_68539 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_50862 | 0.7061 | 0.7680 | 0.7357
legal_question_answering_18429 | 0.7574 | 0.7477 | 0.7525
legal_question_answering_55516 | 0.5964 | 0.2982 | 0.3976
legal_question_answering_37659 | 0.8025 | 0.7113 | 0.7541
legal_question_answering_62195 | 0.6370 | 0.7260 | 0.6786
legal_question_answering_72897 | 0.3338 | 0.6092 | 0.4312
legal_question_answering_27566 | 0.7010 | 0.6847 | 0.6927
legal_question_answering_61489 | 0.6554 | 0.6423 | 0.6488
legal_question_answering_48162 | 0.7632 | 0.7327 | 0.7477
legal_question_answering_56569 | 0.6836 | 0.7066 | 0.6949
legal_question_answering_8889 | 0.6618 | 0.6807 | 0.6711
legal_question_answering_63613 | 0.7169 | 0.6953 | 0.7059
legal_question_answering_56870 | 0.6305 | 0.6845 | 0.6564
legal_question_answering_45930 | 0.7829 | 0.8013 | 0.7920
legal_question_answering_30867 | 0.7834 | 0.8588 | 0.8194
legal_question_answering_26512 | 0.7672 | 0.7653 | 0.7663
legal_question_answering_1458 | 0.8297 | 0.8280 | 0.8288
legal_question_answering_13827 | 0.7100 | 0.6873 | 0.6985
legal_question_answering_43638 | 0.6970 | 0.7355 | 0.7157
legal_question_answering_28837 | 0.7452 | 0.7469 | 0.7461
legal_question_answering_79000 | 0.7548 | 0.6693 | 0.7095
legal_question_answering_31656 | 0.6711 | 0.7003 | 0.6854
legal_question_answering_55120 | 0.8165 | 0.7918 | 0.8039
legal_question_answering_59755 | 0.6991 | 0.7444 | 0.7210
legal_question_answering_67128 | 0.4835 | 0.7802 | 0.5970
legal_question_answering_63838 | 0.6094 | 0.7231 | 0.6614
legal_question_answering_33370 | 0.7747 | 0.7535 | 0.7640
legal_question_answering_38806 | 0.7716 | 0.7950 | 0.7831
legal_question_answering_54170 | 0.7482 | 0.7460 | 0.7471
legal_question_answering_17498 | 0.7392 | 0.7249 | 0.7320
legal_question_answering_29111 | 0.6627 | 0.6931 | 0.6776
legal_question_answering_16251 | 0.6898 | 0.7017 | 0.6957
legal_question_answering_46261 | 0.7593 | 0.7942 | 0.7763
legal_question_answering_14935 | 0.5997 | 0.6085 | 0.6041
legal_question_answering_53329 | 0.6031 | 0.7733 | 0.6777
legal_question_answering_22115 | 0.6382 | 0.6529 | 0.6455
legal_question_answering_77631 | 0.9670 | 0.8203 | 0.8876
legal_question_answering_51890 | 0.7304 | 0.7456 | 0.7379
legal_question_answering_59111 | 0.6315 | 0.6939 | 0.6613
legal_question_answering_26994 | 0.7060 | 0.7978 | 0.7491
legal_question_answering_23811 | 0.7834 | 0.7885 | 0.7859
legal_question_answering_15478 | 0.7786 | 0.7366 | 0.7570
legal_question_answering_19009 | 0.7397 | 0.7858 | 0.7621
legal_question_answering_1339 | 0.6484 | 0.6157 | 0.6316
legal_question_answering_25235 | 0.7721 | 0.8399 | 0.8046
legal_question_answering_36837 | 0.7230 | 0.6988 | 0.7107
legal_question_answering_42586 | 0.7798 | 0.7723 | 0.7760
legal_question_answering_53505 | 0.7561 | 0.7748 | 0.7653
legal_question_answering_55318 | 0.6153 | 0.3184 | 0.4196
legal_question_answering_2687 | 0.7103 | 0.7042 | 0.7073
legal_question_answering_21923 | 0.6042 | 0.7402 | 0.6653
legal_question_answering_73936 | 0.3725 | 0.6010 | 0.4599
legal_question_answering_33883 | 0.7946 | 0.7834 | 0.7889
legal_question_answering_50926 | 0.8045 | 0.8106 | 0.8075
legal_question_answering_79177 | 0.5033 | 0.6932 | 0.5832
legal_question_answering_7208 | 0.6729 | 0.6340 | 0.6529
legal_question_answering_69969 | 0.3510 | 0.5109 | 0.4161
legal_question_answering_10940 | 0.7569 | 0.7358 | 0.7462
legal_question_answering_45598 | 0.6940 | 0.6751 | 0.6844
legal_question_answering_31154 | 0.6579 | 0.6871 | 0.6722
legal_question_answering_68477 | 0.4099 | 0.7560 | 0.5315
legal_question_answering_9774 | 0.5719 | 0.6446 | 0.6061
legal_question_answering_3919 | 0.6449 | 0.5759 | 0.6084
legal_question_answering_2199 | 0.8001 | 0.6671 | 0.7276
legal_question_answering_37437 | 0.7516 | 0.7467 | 0.7492
legal_question_answering_39906 | 0.8042 | 0.7145 | 0.7567
legal_question_answering_48925 | 0.7349 | 0.7213 | 0.7280
legal_question_answering_33916 | 0.7675 | 0.7506 | 0.7589
legal_question_answering_24429 | 0.7498 | 0.7284 | 0.7390
legal_question_answering_34043 | 0.8072 | 0.7391 | 0.7716
legal_question_answering_73997 | 0.3833 | 0.6657 | 0.4865
legal_question_answering_45482 | 0.7599 | 0.8658 | 0.8094
legal_question_answering_19459 | 0.6829 | 0.7179 | 0.7000
legal_question_answering_43196 | 0.7301 | 0.8285 | 0.7762
legal_question_answering_75362 | 0.6587 | 0.8468 | 0.7410
legal_question_answering_77326 | 0.7915 | 0.7666 | 0.7789
legal_question_answering_51258 | 0.7709 | 0.8011 | 0.7857
legal_question_answering_66408 | 0.6703 | 0.7616 | 0.7131
legal_question_answering_77546 | 0.7864 | 0.7886 | 0.7875
legal_question_answering_72905 | 0.3591 | 0.5568 | 0.4366
legal_question_answering_49480 | 0.4490 | 0.4572 | 0.4531
legal_question_answering_25408 | 0.7799 | 0.7939 | 0.7869
legal_question_answering_66134 | 0.6702 | 0.5933 | 0.6295
legal_question_answering_78421 | 0.7980 | 0.7966 | 0.7973
legal_question_answering_59492 | 0.7396 | 0.7549 | 0.7472
legal_question_answering_53981 | 0.4765 | 0.2908 | 0.3612
legal_question_answering_66547 | 0.5197 | 0.8029 | 0.6310
legal_question_answering_27239 | 0.7993 | 0.8122 | 0.8057
legal_question_answering_70655 | 0.3522 | 0.4831 | 0.4074
legal_question_answering_42718 | 0.7850 | 0.7551 | 0.7698
legal_question_answering_78883 | 0.9229 | 0.8562 | 0.8883
legal_question_answering_49312 | 0.8309 | 0.7689 | 0.7987
legal_question_answering_35535 | 0.7456 | 0.7498 | 0.7477
legal_question_answering_74261 | 0.3898 | 0.5956 | 0.4712
legal_question_answering_24587 | 0.7504 | 0.8553 | 0.7994
legal_question_answering_47693 | 0.7914 | 0.8433 | 0.8165
legal_question_answering_25964 | 0.8019 | 0.7809 | 0.7913
legal_question_answering_3357 | 0.5953 | 0.6176 | 0.6063
legal_question_answering_58305 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_75270 | 0.7085 | 0.8690 | 0.7806
legal_question_answering_18075 | 0.7179 | 0.7347 | 0.7262
legal_question_answering_17165 | 0.7277 | 0.7883 | 0.7568
legal_question_answering_34245 | 0.7956 | 0.8030 | 0.7993
legal_question_answering_33108 | 0.7827 | 0.8025 | 0.7924
legal_question_answering_29858 | 0.8069 | 0.7864 | 0.7965
legal_question_answering_52961 | 0.5097 | 0.3327 | 0.4026
legal_question_answering_19241 | 0.7053 | 0.6311 | 0.6661
legal_question_answering_6151 | 0.6426 | 0.6999 | 0.6700
legal_question_answering_48302 | 0.7399 | 0.7456 | 0.7427
legal_question_answering_26906 | 0.7280 | 0.7191 | 0.7235
legal_question_answering_41621 | 0.7517 | 0.7333 | 0.7424
legal_question_answering_64516 | 0.7909 | 0.7601 | 0.7752
legal_question_answering_73878 | 0.3148 | 0.4579 | 0.3731
legal_question_answering_55663 | 0.8087 | 0.7179 | 0.7606
